127.0.0.1 - - [17/May/2016:20:08:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:08:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:08:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:09:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.66.188 - - [17/May/2016:20:09:10 -0400] "GET /ArcGIS/rest/services/LRO_NAC_RockAbnd_25N311E_2mp/MapServer HTTP/1.1" 200 3997 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 353 4270
127.0.0.1 - - [17/May/2016:20:09:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:09:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:09:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:10:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:10:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:10:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.66.188 - - [17/May/2016:20:10:32 -0400] "GET /redmine/projects/lmmpwiki/activity?from=1978-02-23 HTTP/1.1" 200 4829 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 344 5391
127.0.0.1 - - [17/May/2016:20:10:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:11:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:11:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
66.249.66.188 - - [17/May/2016:20:11:19 -0400] "GET /LMMPUI/LMMP_CLIENT/index_m.html HTTP/1.1" 200 4998 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 248 5328
127.0.0.1 - - [17/May/2016:20:11:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:11:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:12:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
69.250.18.57 - - [17/May/2016:20:12:12 -0400] "GET /lmmpmobile/config-1.0.json HTTP/1.1" 200 1338 "-" "Moon%20Tours/1.0.0 CFNetwork/758.2.8 Darwin/15.0.0" 217 1666
69.250.18.57 - - [17/May/2016:20:12:12 -0400] "GET /opensso/identity/isTokenValid HTTP/1.1" 200 14 "-" "Moon%20Tours/1.0.0 CFNetwork/758.2.8 Darwin/15.0.0" 229 172
69.250.18.57 - - [17/May/2016:20:12:12 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=http%3A%2F%2Fpub.lmmp.nasa.gov%2Flmmpmobile%2Frefresh HTTP/1.1" 302 - "-" "Moon%20Tours/1.0.0 CFNetwork/758.2.8 Darwin/15.0.0" 304 930
69.250.18.57 - - [17/May/2016:20:12:13 -0400] "GET /lmmpmobile/refresh?iPlanetDirectoryPro=AQIC5wM2LY4SfcxdZgcBSA5NXzMVu6PvyI66SEfrpWSRrnc%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 - "-" "Moon%20Tours/1.0.0 CFNetwork/758.2.8 Darwin/15.0.0" 418 316
69.250.18.57 - - [17/May/2016:20:12:14 -0400] "GET /arcgis/rest/services/ERGraticule/MapServer?f=json HTTP/1.1" 200 701 "arcgisios" "ArcGISiOS-2.3.2/9.2.1/iPhone5,3" 359 996
69.250.18.57 - - [17/May/2016:20:12:14 -0400] "GET /arcgis/rest/services/CombinedNomenclature/MapServer?f=json HTTP/1.1" 200 799 "arcgisios" "ArcGISiOS-2.3.2/9.2.1/iPhone5,3" 368 1096
127.0.0.1 - - [17/May/2016:20:12:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2338 "-" "Java/1.5.0_21" 819 2516
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 273 "-" "Java/1.5.0_21" 885 450
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2400 "-" "Java/1.5.0_21" 819 2577
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/policyservice HTTP/1.1" 200 9464 "-" "Java/1.5.0_21" 1118 9649
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 767
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
69.250.18.57 - - [17/May/2016:20:12:25 -0400] "GET /LMMP/rest/dbxml/fgdc/legend/stream?label=LRO_NAC_Gray_43S349E_150cmp HTTP/1.1" 200 4536 "-" "Moon%20Tours/1.0.0 CFNetwork/758.2.8 Darwin/15.0.0" 751 8778
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [17/May/2016:20:12:25 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
69.250.18.57 - - [17/May/2016:20:12:25 -0400] "GET /LMMP/rest/dbxml/fgdc/legend/stream?label=LRO_NAC_ClrShade_43S349E_150cmp HTTP/1.1" 200 4060 "-" "Moon%20Tours/1.0.0 CFNetwork/758.2.8 Darwin/15.0.0" 689 4603
127.0.0.1 - - [17/May/2016:20:12:32 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:12:48 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:13:02 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [17/May/2016:20:13:18 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
