89.111.188.176 - - [05/Jul/2016:00:11:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.5,79.75,-154.25,80.0 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [05/Jul/2016:00:11:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.8125,79.8125,-154.75,79.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 265 419
89.111.188.176 - - [05/Jul/2016:00:11:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.5,79.875,-154.4375,79.9375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 264 419
89.111.188.176 - - [05/Jul/2016:00:11:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.5625,79.8125,-154.5,79.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 264 419
89.111.188.176 - - [05/Jul/2016:00:11:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.5,79.5,-154.0,80.0 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 256 419
89.111.188.176 - - [05/Jul/2016:00:11:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.625,79.8125,-154.5625,79.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 266 419
89.111.188.176 - - [05/Jul/2016:00:11:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-154.6875,79.8125,-154.625,79.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 266 419
192.148.213.60 - - [05/Jul/2016:00:13:08 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
128.183.164.42 - - [05/Jul/2016:00:14:28 +0000] "GET /browse.cgi?zoom=&layers=daily_aqua HTTP/1.1" 404 208 "-" "Java/1.7.0_101" 260 459
193.51.249.230 - - [05/Jul/2016:00:16:49 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
120.155.50.158 - - [05/Jul/2016:00:17:19 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=140,-26,144,-22 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 321 456
120.155.50.158 - - [05/Jul/2016:00:17:19 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=148,-38,152,-34 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 321 455
120.155.50.158 - - [05/Jul/2016:00:17:20 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=144,-34,148,-30 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 321 455
120.155.50.158 - - [05/Jul/2016:00:17:20 +0000] "GET /wms.cgi?request=GetMap&layers=BMNG&srs=EPSG:4326&format=image/jpeg&styles=Apr&width=480&height=480&bbox=148,-34,152,-30 HTTP/1.1" 404 205 "-" "ProjTileMap/1.4.5 CFNetwork/758.4.3 Darwin/15.5.0" 321 455
