89.111.188.176 - - [01/Jul/2016:00:30:15 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-73.5625,3.875,-73.5,3.9375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:00:30:16 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-73.6875,3.8125,-73.625,3.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
89.111.188.176 - - [01/Jul/2016:00:30:16 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-73.625,3.8125,-73.5625,3.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 262 419
89.111.188.176 - - [01/Jul/2016:00:30:17 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=-73.5625,3.8125,-73.5,3.875 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
192.148.213.60 - - [01/Jul/2016:00:30:18 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.3.0 HTTP/1.1" 404 205 "-" "-" 191 456
192.148.213.60 - - [01/Jul/2016:00:30:18 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 455
193.51.249.230 - - [01/Jul/2016:00:32:09 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
173.251.57.91 - - [01/Jul/2016:00:32:25 +0000] "GET /wms.cgi?request=GetTileService HTTP/1.1" 404 205 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0" 337 456
100.64.33.175 - - [01/Jul/2016:00:35:03 +0000] "HEAD /OnEarth_BMNG.kml HTTP/1.1" 404 - "-" "python-requests/2.7.0 CPython/2.7.11 Linux/3.10.0-327.4.5.el7.x86_64" 214 230
89.111.188.176 - - [01/Jul/2016:00:36:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=25.4375,37.5,25.5,37.5625 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [01/Jul/2016:00:36:56 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=25.4375,37.4375,25.5,37.5 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 258 419
89.111.188.176 - - [01/Jul/2016:00:36:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=25.4375,37.375,25.5,37.4375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
89.111.188.176 - - [01/Jul/2016:00:36:57 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&format=image/jpeg&styles=&width=512&height=512&bbox=25.4375,37.3125,25.5,37.375 HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 260 419
104.197.145.181 - - [01/Jul/2016:00:38:04 +0000] "GET /wms.cgi?REQUEST=GetTileService&SERVICE=WMS HTTP/1.1" 404 205 "-" "-" 124 400
104.197.145.181 - - [01/Jul/2016:00:38:04 +0000] "GET /wms.cgi?request=GetTileService HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 153 419
192.148.213.60 - - [01/Jul/2016:00:44:43 +0000] "GET /wms.cgi?service=WMS&request=GetCapabilities&version=1.1.1 HTTP/1.1" 404 205 "-" "-" 191 456
50.63.8.35 - - [01/Jul/2016:00:46:38 +0000] "GET /wp-admin/ HTTP/1.1" 404 207 "-" "-" 74 421
193.51.249.230 - - [01/Jul/2016:00:46:55 +0000] "GET /wms.cgi?REQUEST=GetCapabilities&version=1.1.1&SERVICE=WMS HTTP/1.1" 404 205 "-" "Python-urllib/2.7" 180 419
68.180.228.251 - - [01/Jul/2016:00:48:18 +0000] "GET /wms.cgi?request=GetMap&layers=global_mosaic&srs=EPSG:4326&height=1000&width=1000&bbox=0.20635347972897,47.495274924017,0.40642430920565,47.630279117026&format=image/jpeg&styles=pseudo HTTP/1.1" 404 205 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)" 362 400
68.171.211.178 - - [01/Jul/2016:00:52:38 +0000] "GET /test/wp-admin/ HTTP/1.1" 404 212 "-" "-" 79 426
