75.62.149.154 - - [08/Oct/2014:20:05:20 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=https://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/html?label=LP_GRS_Fe_Clr_Global_2ppd HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 653 429
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2385 "-" "Java/1.5.0_21" 815 2563
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2407 "-" "Java/1.5.0_21" 815 2584
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7691 "-" "Java/1.5.0_21" 1117 7869
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7691 "-" "Java/1.5.0_21" 1109 7869
127.0.0.1 - - [08/Oct/2014:20:05:24 -0400] "POST /LMMP/rest/transform/fgdc/2html HTTP/1.1" 200 10983 "-" "Jakarta Commons-HttpClient/3.0.1" 7353 14850
75.62.149.154 - - [08/Oct/2014:20:05:24 -0400] "GET /LMMP/rest/dbxml/fgdc/html?label=LP_GRS_Fe_Clr_Global_2ppd HTTP/1.1" 200 10982 "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 1000 15602
127.0.0.1 - - [08/Oct/2014:20:05:25 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2387 "-" "Java/1.5.0_21" 815 2564
127.0.0.1 - - [08/Oct/2014:20:05:25 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 269 "-" "Java/1.5.0_21" 881 446
127.0.0.1 - - [08/Oct/2014:20:05:25 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7691 "-" "Java/1.5.0_21" 1117 7869
127.0.0.1 - - [08/Oct/2014:20:05:25 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:05:25 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
75.62.149.154 - - [08/Oct/2014:20:05:28 -0400] "GET /favicon.ico HTTP/1.1" 404 209 "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 488 511
75.62.149.154 - - [08/Oct/2014:20:05:25 -0400] "GET /LMMP/rest/dbxml/fgdc/abstract?label=LP_NS_H_Clr_Global_2ppd&iPlanetDirectoryPro=AQIC5wM2LY4Sfcys8bV9U1L9x0lPxEU5mRYSmfxXq5QeBj0%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 1582 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 861 5714
75.62.149.154 - - [08/Oct/2014:20:05:39 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=http://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_Fe_Clr_Global_2ppd HTTP/1.1" 302 - "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 308 989
127.0.0.1 - - [08/Oct/2014:20:05:40 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:05:40 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2405 "-" "Java/1.5.0_21" 815 2583
127.0.0.1 - - [08/Oct/2014:20:05:40 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 269 "-" "Java/1.5.0_21" 881 446
127.0.0.1 - - [08/Oct/2014:20:05:41 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7689 "-" "Java/1.5.0_21" 1115 7867
127.0.0.1 - - [08/Oct/2014:20:05:41 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:05:41 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1378 1551
127.0.0.1 - - [08/Oct/2014:20:05:41 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:05:41 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1378 1551
75.62.149.154 - - [08/Oct/2014:20:05:40 -0400] "GET /LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_Fe_Clr_Global_2ppd&iPlanetDirectoryPro=AQIC5wM2LY4Sfcx%2FQk7j25A%2F3u%2B4gnxJ%2F4f4ezFlk3%2FXYdU%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 7692 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 333 8000
127.0.0.1 - - [08/Oct/2014:20:05:44 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
75.62.149.154 - - [08/Oct/2014:20:05:51 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=http://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_Fe_Clr_Global_2ppd HTTP/1.1" 302 - "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 308 979
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 2395 "-" "Java/1.5.0_21" 815 2573
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/sessionservice HTTP/1.1" 200 269 "-" "Java/1.5.0_21" 881 446
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/policyservice HTTP/1.1" 200 7689 "-" "Java/1.5.0_21" 1115 7867
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/jaxrpc/SMSObjectIF HTTP/1.1" 200 505 "-" "Java/1.5.0_21" 847 766
127.0.0.1 - - [08/Oct/2014:20:05:53 -0400] "POST /opensso/jaxrpc/DirectoryManagerIF HTTP/1.1" 200 1290 "-" "Java/1.5.0_21" 1362 1551
75.62.149.154 - - [08/Oct/2014:20:05:53 -0400] "GET /LMMP/rest/dbxml/fgdc/legend/stream?label=LP_GRS_Fe_Clr_Global_2ppd&iPlanetDirectoryPro=AQIC5wM2LY4SfcwQMc5n1Uqy93unkaKzZQzTF7HJ237Xxlc%3D%40AAJTSQACMDE%3D%23 HTTP/1.1" 200 7692 "-" "Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230NU Build/KOT49H)" 323 8000
127.0.0.1 - - [08/Oct/2014:20:06:10 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:06:14 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:06:40 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:06:44 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:07:10 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
75.62.149.154 - - [08/Oct/2014:20:07:12 -0400] "GET /opensso/UI/Login?module=Anonymous&org=appspub&goto=https://pub.lmmp.nasa.gov/LMMP/rest/dbxml/fgdc/html?label=LP_GRS_Fe_Clr_Global_2ppd HTTP/1.1" 302 - "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 653 430
75.62.149.154 - - [08/Oct/2014:20:07:13 -0400] "GET /favicon.ico HTTP/1.1" 404 209 "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36" 830 4557
127.0.0.1 - - [08/Oct/2014:20:07:14 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:07:40 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
127.0.0.1 - - [08/Oct/2014:20:07:44 -0400] "GET /opensso/namingservice HTTP/1.1" 200 7 "-" "Java/1.5.0_21" 220 183
